region_name,school_count,student_count,male_students,female_students,class_count,teacher_count,avg_students_per_school,avg_students_per_class,students_per_teacher,population,academy_count,academy_capacity,pension_avg_income,academy_per_1000_students,schools_per_100k_population,high_school_students_per_1000_population,male_share,female_share,source_scope
광주광역시 북구,21,12797.0,6675.0,6122.0,543.0,1084,609.3809523809524,23.567219152854513,11.805350553505535,415473,1313,46637,1360440,102.60217238415254,5.054480074517478,30.801038816000077,0.5216066265530984,0.47839337344690164,2025 high schools only for school-level metrics
광주광역시 서구,8,5447.0,3418.0,2029.0,225.0,423,680.875,24.20888888888889,12.877068557919621,275730,918,41219,1389268,168.53313750688454,2.9013890400029014,19.754832626119754,0.6275013769047182,0.3724986230952818,2025 high schools only for school-level metrics
대구광역시 군위군,1,273.0,162.0,111.0,13.0,30,273.0,21.0,9.1,22567,14,183,1374736,51.28205128205128,4.431249169140781,12.097310231754332,0.5934065934065934,0.4065934065934066,2025 high schools only for school-level metrics
대구광역시 남구,7,4247.0,1940.0,2307.0,189.0,371,606.7142857142857,22.47089947089947,11.44743935309973,137746,261,6024,1369859,61.45514480809983,5.081817257851408,30.83211127727847,0.4567930303743819,0.5432069696256181,2025 high schools only for school-level metrics
대구광역시 달서구,23,14828.0,6785.0,8043.0,644.0,1323,644.695652173913,23.024844720496894,11.207860922146637,516019,1762,63882,1462509,118.82924197464256,4.457200219371767,28.7353760229759,0.45758025357431886,0.5424197464256811,2025 high schools only for school-level metrics
대구광역시 달성군,10,5442.0,2842.0,2600.0,225.0,455,544.2,24.186666666666667,11.96043956043956,253530,750,37449,1426218,137.8169790518192,3.9443063937206637,21.464915394627855,0.5222344726203602,0.47776552737963984,2025 high schools only for school-level metrics
대구광역시 동구,11,6387.0,4082.0,2305.0,274.0,597,580.6363636363636,23.31021897810219,10.698492462311558,338753,885,24836,1411493,138.5627054955378,3.2472037148010493,18.85444556948573,0.6391106935963676,0.36088930640363237,2025 high schools only for school-level metrics
대구광역시 북구,17,9600.0,4794.0,4806.0,413.0,839,564.7058823529412,23.24455205811138,11.442193087008343,408481,1184,38368,1458014,123.33333333333334,4.1617602777118154,23.50170509766672,0.499375,0.500625,2025 high schools only for school-level metrics
대구광역시 서구,6,3975.0,2305.0,1670.0,171.0,351,662.5,23.24561403508772,11.324786324786325,163987,251,7959,1375675,63.14465408805031,3.6588266143047923,24.23972631976925,0.579874213836478,0.42012578616352203,2025 high schools only for school-level metrics
대구광역시 수성구,17,12039.0,6518.0,5521.0,526.0,1054,708.1764705882352,22.88783269961977,11.422201138519924,409297,2486,99741,1501656,206.49555610931142,4.153463133128266,29.41384862337129,0.5414070936124262,0.4585929063875737,2025 high schools only for school-level metrics
대구광역시 중구,4,2742.0,1311.0,1431.0,116.0,241,685.5,23.637931034482758,11.377593360995851,101081,444,20654,1461963,161.92560175054703,3.9572224255794857,27.126759727347373,0.47811816192560175,0.5218818380743983,2025 high schools only for school-level metrics
대전광역시 대덕구,5,3265.0,1558.0,1707.0,153.0,280,653.0,21.33986928104575,11.660714285714286,165010,316,11750,1416658,96.78407350689127,3.030119386703836,19.78667959517605,0.4771822358346095,0.5228177641653905,2025 high schools only for school-level metrics
대전광역시 동구,9,5287.0,2936.0,2351.0,273.0,530,587.4444444444445,19.366300366300365,9.975471698113207,218169,357,11852,1402844,67.52411575562701,4.125242357988531,24.233507051872632,0.5553243805560809,0.44467561944391903,2025 high schools only for school-level metrics
대전광역시 서구,17,11717.0,5783.0,5934.0,504.0,954,689.2352941176471,23.248015873015873,12.281970649895179,463863,1474,67272,1418461,125.8001194845097,3.66487518944171,25.259613290993247,0.49355637108474865,0.5064436289152513,2025 high schools only for school-level metrics
대전광역시 유성구,17,9784.0,5008.0,4776.0,450.0,967,575.5294117647059,21.74222222222222,10.11789038262668,369113,1151,36908,1470486,117.64104660670482,4.6056356725447225,26.506787894222096,0.5118560915780866,0.48814390842191335,2025 high schools only for school-level metrics
대전광역시 중구,14,8552.0,4867.0,3685.0,435.0,815,610.8571428571429,19.65977011494253,10.493251533742331,225250,476,18576,1439354,55.659494855004674,6.215316315205327,37.96670366259711,0.5691066417212348,0.4308933582787652,2025 high schools only for school-level metrics
